URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://fhir.cqdg.ca/ValueSet/access-limitation-vs,0.1.0,active,,AccessLimitationsVS,Ferlab.bio ValueSet/access-limitation,"Restriction on access","StructureDefinition/AccessLimitations","Internal"
https://fhir.cqdg.ca/ValueSet/access-requirement-vs,0.1.0,active,,AccessRequirementVS,Ferlab.bio ValueSet/access-requirement,"Requirements before access","StructureDefinition/AccessRequirements","Internal"
https://fhir.cqdg.ca/ValueSet/age-at-onset-vs,0.1.0,active,,AgeAtOnsetVS,Ferlab.bio ValueSet/age-at-onset,"This value set includes age at onset codes from Human Phenotype Ontology.",,"Internal"
https://fhir.cqdg.ca/ValueSet/bioinfo-analysis-vs,0.1.0,active,,BioinfoAnalysisVS,Ferlab.bio ValueSet/bioinfo-analysis,"Bioinfo Analysis ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/cause-of-death-vs,0.1.0,active,,CauseOfDeathVS,Ferlab.bio ValueSet/cause-of-death,"Cause of death",,"Internal"
https://fhir.cqdg.ca/ValueSet/cqdg-diagnosis-vs,0.1.0,active,,CQDGDiagnosisVS,Ferlab.bio ValueSet/diagnosis,"Diagnosis ValueSet",,"THO,hl7.terminology.r4"
https://fhir.cqdg.ca/ValueSet/cqdg-observation-category,0.1.0,active,,CQDGObservationCategory,Ferlab.bio ValueSet/cqdg-observation,"Observation ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/data-category-vs,0.1.0,active,,DataCategoryVS,Ferlab.bio ValueSet/data-category,"Data Category ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/data-type-vs,0.1.0,active,,DataTypeVS,Ferlab.bio ValueSet/data-type,"Date Type ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/disease-status-vs,0.1.0,active,,DiseaseStatusVS,Ferlab.bio ValueSet/disease-status,"Disease Status ValueSet","StructureDefinition/CQDGObservationDiseaseStatus","Internal"
https://fhir.cqdg.ca/ValueSet/experimental-strategy-vs,0.1.0,active,,CQDGFamilyTypeVS,Ferlab.bio ValueSet/experimental-strategy,"Experimental Strategy ValueSet","StructureDefinition/sequencingExperimentExtension","Internal"
https://fhir.cqdg.ca/ValueSet/family-type-vs,0.1.0,active,,FamilyTypeVS,Ferlab.bio ValueSet/family-type,"Family Type ValueSet","StructureDefinition/cqdg-group","Internal"
https://fhir.cqdg.ca/ValueSet/file-format,0.1.0,active,,FileFormat,Ferlab.bio ValueSet/file-format,"File Format ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/genome-build-vs,0.1.0,active,,GenomeBuildVS,Ferlab.bio ValueSet/genome-build,"Genome Build ValueSet","StructureDefinition/workflowExtension","Internal"
https://fhir.cqdg.ca/ValueSet/phenotype-vs,0.1.0,active,,PhenotypeVS,Ferlab.bio ValueSet/phenotype,"Phenotype ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/population-vs,0.1.0,active,,PopulationVS,Ferlab.bio ValueSet/population,"Population ValueSet","StructureDefinition/population-info","Internal"
https://fhir.cqdg.ca/ValueSet/qc-ethnicity-vs,0.1.0,active,,QCEthnicityVS,Ferlab.bio ValueSet/qa-ethnicity,"QCEthnicity ValueSet","StructureDefinition/cqdg-patient","Internal"
https://fhir.cqdg.ca/ValueSet/relationship-to-proband,0.1.0,active,,RelationshipToProband,Ferlab.bio ValueSet/relationship-to-proband,"Relationship To Proband ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/research-domain-vs,0.1.0,active,,ResearchDomain,Ferlab.bio ValueSet/research-domain,"Study Domain ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/sample-type-tissue-source-vs,0.1.0,active,,SampleTypeTissueSourceVS,Ferlab.bio ValueSet/sample-type-tissue-source,"Sample Type Tissue Source ValueSet","StructureDefinition/cqdg-specimen","Internal"
https://fhir.cqdg.ca/ValueSet/study-vs,0.1.0,active,,StudyVS,Ferlab.bio ValueSet/cqdg-study,"Study ValueSet",,"Internal"
https://fhir.cqdg.ca/ValueSet/tumor-normal-designation-vs,0.1.0,active,,TumorNormalDesignationVS,Ferlab.bio ValueSet/tumor-normal-designation,"Tumor Normal Designation ValueSet",,"Internal"
